gene_id	GHC.006.output.filtered.bam	GHC.017.output.filtered.bam	GHC.022.output.filtered.bam	GHC.025.output.filtered.bam	JHC.001.output.filtered.bam	JHC.005.output.filtered.bam	SGH.003.output.filtered.bam	SGH.006.output.filtered.bam	SGH.007.output.filtered.bam	UHC.020.output.filtered.bam
PVP01_0726650	4	3	6	1	4	10	4	49	2	14
PVP01_1012400	27	14	15	0	10	54	6	258	10	26
PVP01_0006630	0	0	0	0	0	0	0	0	0	0
PVP01_1133100	35	136	14	58	57	106	75	114	70	66
PVP01_0008640	0	0	0	0	0	0	0	0	0	0
PVP01_1414300	42	28	27	21	19	66	15	228	14	303
PVP01_0804600	43	141	17	84	72	103	95	157	103	40
PVP01_0817600	109	225	89	41	171	445	131	333	93	2573
PVP01_1207700	201	1164	89	799	1273	1344	478	362	665	494
PVP01_1438200	8	7	4	1	3	13	1	54	12	17
PVP01_0200400	2	1	1	0	0	1	0	0	0	0
PVP01_0001340	0	0	0	0	0	0	0	0	0	0
PVP01_0009920	0	0	0	0	0	0	0	0	0	0
PVP01_1031900	441	2288	120	2190	1616	1480	938	272	1333	1160
PVP01_0210600	111	143	137	78	178	1689	73	219	87	8298
PVP01_0902700	31	112	12	79	116	91	57	87	101	40
PVP01_1101700	6	13	5	5	4	34	7	98	15	14
PVP01_1459800	16	18	16	11	17	28	18	77	23	19
PVP01_0004950	0	0	0	0	0	0	0	0	0	0
PVP01_0913100	100	306	28	223	175	144	232	292	278	74
PVP01_0003260	0	0	0	0	0	0	0	0	0	0
PVP01_1468300	64	227	41	166	113	128	116	208	146	61
PVP01_0006420	0	0	0	0	0	0	0	0	0	0
PVP01_0601100	215	568	35	380	555	534	550	227	653	614
PVP01_1218000	92	457	58	168	399	966	188	71	380	663
PVP01_1455800	24	27	7	14	22	36	11	72	35	60
PVP01_1329100	106	387	33	268	266	483	204	292	285	205
PVP01_1402600	52	62	9	8	18	49	27	10	38	31
PVP01_0622000	72	157	44	81	78	172	98	406	130	89
PVP01_1120600	78	60	71	9	55	214	25	278	39	1851
PVP01_1232800	55	173	36	129	131	217	93	164	172	153
PVP01_1438800	170	575	121	446	359	684	201	65	430	751
PVP01_1325100	1	2	1	2	1	3	3	44	2	4
PVP01_1202000	36	103	32	89	51	104	56	342	74	55
PVP01_0829000	73	134	37	65	91	156	111	403	75	95
PVP01_0302300	46	21	28	6	9	44	9	225	17	49
PVP01_0004720	0	0	0	0	0	0	0	0	0	0
PVP01_0009910	0	0	0	0	0	0	0	0	0	0
PVP01_1210200	35	110	30	61	69	81	38	133	73	185
PVP01_0532400	19	63	2	17	29	29	15	9	37	20
PVP01_0007160	0	0	0	0	0	0	0	0	0	0
PVP01_1428100	59	196	20	181	131	184	129	134	156	97
PVP01_0903600	68	67	58	35	60	444	33	49	29	2381
PVP01_0621000	20	64	9	35	39	65	23	119	44	41
PVP01_0836000	51	123	30	51	61	91	79	200	110	131
PVP01_1138500	14	13	15	3	7	29	16	191	10	31
PVP01_1016200	35	104	19	82	72	141	74	136	115	75
PVP01_0217400	18	133	5	30	19	93	42	15	45	15
PVP01_0530000	11	75	7	55	33	67	50	76	34	26
PVP01_0529100	809	2620	120	3530	2770	3351	2094	1029	1816	914
PVP01_1404700	938	1734	367	784	805	1372	1091	1557	1753	2825
PVP01_0504600	35	118	14	81	71	84	46	59	114	60
PVP01_0009790	0	0	0	0	0	0	0	0	0	0
PVP01_1259900	2	6	4	5	4	10	4	63	3	5
PVP01_0933300	104	219	42	95	152	228	157	283	189	153
PVP01_0111400	34	40	24	21	18	81	29	370	46	44
PVP01_1471400	21	20	10	12	18	270	13	11	12	272
PVP01_1216000	36	50	33	15	32	58	16	159	38	239
PVP01_1447500	8	18	6	11	10	22	29	79	25	8
PVP01_0421400	43	129	9	23	44	61	74	83	31	50
PVP01_0736600	0	0	0	0	0	0	0	0	0	0
PVP01_0319800	274	758	81	549	453	1082	525	456	471	1648
PVP01_0010900	0	0	0	0	0	0	0	0	0	0
PVP01_0936700	7	21	1	7	8	28	18	43	21	9
PVP01_1466200	41	217	17	123	95	121	82	179	148	107
PVP01_0202600	157	1422	86	485	862	1282	350	530	694	313
PVP01_1240200	12	17	8	6	2	27	10	95	4	21
PVP01_0527600	113	905	34	326	291	651	236	204	449	787
PVP01_1245800	55	360	27	226	246	675	101	190	130	415
PVP01_1115500	403	1139	134	950	706	1193	614	387	814	883
PVP01_1003800	113	303	29	233	167	265	223	145	245	156
PVP01_0711400	107	469	36	168	291	358	193	144	303	509
PVP01_0421500	57	184	12	72	66	75	109	51	102	93
PVP01_0503300	96	379	34	306	241	255	206	339	219	139
PVP01_1460700	39	53	34	20	40	92	58	167	32	219
PVP01_0514400	237	797	71	508	601	833	400	338	592	1687
PVP01_1264900	35	35	31	29	38	69	35	108	27	257
PVP01_0410600	33	64	7	35	29	45	34	30	42	33
PVP01_1029700	11	23	2	17	9	17	15	97	7	11
PVP01_0835100	470	1813	186	1323	928	1637	1017	1556	1369	1466
PVP01_1029000	52	219	91	74	23	114	110	158	20	346
PVP01_0513900	14	27	18	6	10	113	18	144	7	211
PVP01_1218600	68	35	69	4	123	157	10	60	82	957
PVP01_0004190	0	0	0	0	0	0	0	0	0	0
PVP01_1335900	10	50	8	11	18	47	31	55	26	22
PVP01_1450900	182	583	102	516	350	455	308	826	378	397
PVP01_1252600	19	55	18	26	20	72	33	93	22	69
PVP01_0400800	0	0	1	1	4	9	1	0	3	0
PVP01_1337600	63	184	19	151	73	143	88	163	123	178
PVP01_0010300	0	0	0	0	0	0	0	0	0	0
PVP01_0010830	0	0	0	0	0	0	0	0	0	0
PVP01_0116400	33	123	18	63	60	118	81	152	73	31
PVP01_1028600	70	84	27	18	70	383	37	181	64	1266
PVP01_0000790	0	0	0	0	0	0	0	0	0	0
PVP01_1133300	151	299	72	129	211	256	178	350	279	457
PVP01_0911700	83	228	25	220	82	176	181	298	148	66
PVP01_1440800	296	253	204	92	187	737	158	542	304	3717
PVP01_0829700	218	779	118	494	394	919	367	740	505	929
PVP01_1309500	3	2	8	3	3	12	9	33	3	6
PVP01_0004410	0	0	0	0	0	0	0	0	0	0
PVP01_0806700	24	41	15	14	9	37	18	182	18	30
PVP01_0704900	59	241	53	130	151	287	153	214	213	541
PVP01_0505600	66	199	22	105	66	231	123	261	99	236
PVP01_1235100	83	416	33	472	285	377	154	250	179	162
PVP01_0106000	138	342	45	216	302	412	273	243	369	248
PVP01_1262700	113	492	35	518	340	492	316	178	357	95
PVP01_0919000	40	53	23	14	34	73	47	95	78	150
PVP01_1406800	142	320	54	180	165	392	209	157	389	284
PVP01_1017000	19	33	13	15	12	47	27	160	40	26
PVP01_0003100	0	0	0	0	0	0	0	0	0	0
PVP01_1001000	59	172	4	163	90	152	71	73	118	50
PVP01_1241500	242	1451	84	747	682	1311	438	325	852	1283
PVP01_0419400	73	284	10	267	315	397	236	114	259	88
PVP01_0402200	40	301	14	316	208	421	86	131	110	527
PVP01_1260100	23	107	16	114	40	289	59	190	80	390
PVP01_1129100	25	17	17	6	10	47	7	208	17	18
PVP01_0001460	0	0	0	0	0	0	0	0	0	0
PVP01_0835900	65	126	45	60	38	146	75	591	95	92
PVP01_0410300	390	1110	128	1021	746	1016	659	399	836	776
PVP01_1406600	15	22	8	2	8	27	16	35	14	43
PVP01_0831400	5	33	7	31	19	26	46	85	16	16
PVP01_1232400	556	2433	286	1201	1602	3057	1142	1380	2088	2930
PVP01_0914100	31	44	12	17	22	37	26	147	47	73
PVP01_0008680	0	0	0	0	0	0	0	0	0	0
PVP01_0309100	60	599	51	525	380	519	339	308	289	135
PVP01_0512900	36	231	11	125	95	129	93	142	133	56
PVP01_1436000	970	3559	312	2876	2673	4357	1738	631	2296	3271
PVP01_0209300	30	201	16	126	113	175	78	142	85	41
PVP01_0826500	399	1214	157	1559	818	1690	766	537	868	990
PVP01_0004620	0	0	0	0	0	0	0	0	0	0
PVP01_1318400	26	39	27	44	42	69	32	114	37	385
PVP01_1470300	9	26	5	3	17	51	16	10	25	15
PVP01_1302000	55	257	30	232	147	157	132	292	116	48
PVP01_1004900	48	195	24	87	89	112	97	149	105	62
PVP01_0941400	143	275	95	131	105	278	248	739	255	683
PVP01_1250900	235	878	86	873	520	1054	592	377	762	485
PVP01_1005700	116	273	61	182	142	229	217	261	328	434
PVP01_0833600	17	55	5	30	8	31	33	70	56	57
PVP01_1026600	28	123	12	82	41	108	55	85	74	33
PVP01_1131700	2	6	6	0	4	9	5	28	5	14
PVP01_1403600	502	1380	133	1225	914	1816	1173	587	1441	658
PVP01_0303000	32	15	23	23	12	44	23	121	17	22
PVP01_0005690	0	0	0	0	0	0	0	0	0	0
PVP01_1021900	35	26	8	9	18	17	11	26	57	126
PVP01_0009930	0	0	0	0	0	0	0	0	0	0
PVP01_0941700	147	431	106	84	128	368	300	567	259	341
PVP01_1028700	21	95	30	137	110	184	68	108	7	196
PVP01_0816000	39	41	13	18	17	71	42	135	20	138
PVP01_1000800	27	17	19	14	21	64	26	21	10	491
PVP01_0008850	0	0	0	0	0	0	0	0	0	0
PVP01_0009230	0	0	0	0	0	0	0	0	0	0
PVP01_1454500	154	374	63	232	299	381	398	376	390	208
PVP01_0712500	31	145	17	87	85	113	104	214	84	69
PVP01_1439800	48	251	29	171	170	548	75	213	74	936
PVP01_0007900	0	0	0	0	0	0	0	0	0	0
PVP01_0420700	20	106	20	3	25	88	14	19	35	35
PVP01_0714700	770	1634	230	1567	1646	1801	1325	616	1628	2517
PVP01_0900800	236	1016	52	859	672	820	556	279	571	285
PVP01_1134900	33	171	42	92	61	190	57	238	64	245
PVP01_0609400	12	42	5	43	25	30	72	19	23	9
PVP01_0819100	139	641	74	304	290	348	272	543	358	659
PVP01_1427500	74	323	24	280	192	340	203	134	272	255
PVP01_1226800	24	80	11	28	28	54	30	65	54	90
PVP01_0109100	130	604	43	432	391	303	336	446	365	500
PVP01_0303700	143	607	54	521	391	318	370	262	406	259
PVP01_0614100	153	686	63	495	393	852	262	342	318	341
PVP01_1256200	67	324	18	193	175	216	150	163	226	155
PVP01_0618000	96	55	63	23	73	120	48	376	50	676
PVP01_1106200	73	309	23	187	141	296	145	170	211	91
PVP01_1327800	160	683	43	473	444	406	458	553	463	344
PVP01_0836400	9	10	7	5	4	20	7	80	6	9
PVP01_0419300	11	57	6	31	28	50	29	33	23	21
PVP01_0208400	20	21	15	11	6	29	10	192	8	19
PVP01_0949600	0	0	0	0	0	0	0	0	0	0
PVP01_1207900	7	23	9	9	19	18	21	55	15	7
PVP01_0005580	0	0	0	0	0	0	0	0	0	0
PVP01_0729700	186	712	64	676	368	424	540	555	541	259
PVP01_1408800	62	33	50	25	42	193	36	130	52	977
PVP01_1140800	51	243	24	61	123	156	107	213	193	112
PVP01_1427300	219	899	64	655	429	513	501	462	556	215
PVP01_1310400	83	237	51	94	97	272	151	369	204	301
PVP01_1231900	40	193	22	83	112	221	88	128	163	167
PVP01_1221300	19	74	9	12	29	27	24	84	22	36
PVP01_1468000	54	172	27	172	136	132	131	229	175	133
PVP01_1445100	92	373	60	231	187	400	176	228	227	533
PVP01_0831800	13	54	4	37	25	20	23	27	17	15
PVP01_1009700	41	183	13	103	119	154	100	112	139	368
PVP01_1439300	191	381	100	235	198	458	140	452	291	759
PVP01_1329900	47	37	42	10	10	72	24	442	11	18
PVP01_0909000	17	14	12	3	8	42	13	67	4	337
PVP01_0003970	0	0	0	0	0	0	0	0	0	0
PVP01_1125500	56	308	10	205	152	213	149	212	165	112
PVP01_0011150	0	0	0	0	0	0	0	0	0	0
PVP01_0705100	82	91	50	31	57	149	62	201	183	320
PVP01_0608000	110	410	19	532	296	348	195	120	223	65
PVP01_1134500	84	102	46	46	125	158	94	219	277	783
PVP01_0209600	58	33	26	24	42	86	46	140	64	363
PVP01_1337000	82	315	36	222	167	246	172	176	194	154
PVP01_0008730	0	0	0	0	0	0	0	0	0	0
PVP01_0512200	15	18	10	3	19	42	27	102	57	65
PVP01_0901800	76	27	44	34	31	84	63	98	75	262
PVP01_0220300	0	0	0	0	0	0	0	0	0	0
PVP01_1312600	10	22	7	13	9	21	19	63	13	32
PVP01_1145300	311	1234	118	818	786	1127	691	997	884	476
PVP01_1106400	107	635	51	319	347	511	363	300	470	303
PVP01_1320500	351	1613	86	1473	1478	1448	944	1044	931	459
PVP01_0913200	20	35	11	10	25	48	45	101	54	46
PVP01_1442400	106	629	56	388	329	528	269	340	292	239
PVP01_0413700	33	84	28	48	73	152	57	188	113	255
PVP01_0004640	0	0	0	0	0	0	0	0	0	0
PVP01_1214800	67	160	36	40	60	149	104	329	161	154
PVP01_0408800	161	572	70	440	302	654	314	208	435	353
PVP01_1266600	535	1823	105	2481	1636	2404	1121	1043	1104	612
PVP01_0812000	26	64	13	49	38	89	35	96	42	59
PVP01_1201600	203	713	75	793	514	980	433	172	579	426
PVP01_1460900	32	47	20	22	29	50	38	189	26	113
PVP01_1266400	88	73	48	46	58	122	105	343	160	311
PVP01_1258800	148	481	64	225	255	546	275	529	280	354
PVP01_MIT02700	2793	243	78	284	383	1382	1434	2392	1078	92
PVP01_0734400	27	70	5	17	124	118	8	40	62	12
PVP01_0008370	0	0	0	0	0	0	0	0	0	0
PVP01_0722600	21	93	31	18	63	96	56	190	63	38
PVP01_0201100	267	1290	112	960	1199	2865	461	242	841	672
PVP01_1014800	7	12	2	2	9	30	5	50	8	69
PVP01_0008230	0	0	0	0	0	0	0	0	0	0
PVP01_0008700	0	0	0	0	0	0	0	0	0	0
PVP01_0726000	17	89	15	39	36	74	34	164	58	41
PVP01_0505800	114	501	36	344	168	276	232	271	359	247
PVP01_0001060	0	0	0	0	0	0	0	0	0	0
PVP01_0003040	0	0	0	0	0	0	0	0	0	0
PVP01_0006510	0	0	0	0	0	0	0	0	0	0
PVP01_0405600	15	179	13	102	90	88	71	66	135	57
PVP01_0612100	106	315	96	119	160	1106	255	276	247	3915
PVP01_0737500	0	0	0	0	0	0	0	0	0	0
PVP01_0119000	0	0	0	0	0	0	0	0	0	0
PVP01_0711200	26	22	14	10	16	48	26	235	36	25
PVP01_1320400	9	26	16	5	4	25	24	59	14	179
PVP01_0615500	48	144	25	85	85	105	71	208	152	67
PVP01_0916700	14	15	3	8	20	17	19	4	26	3
PVP01_0108800	74	288	32	172	148	195	194	283	234	117
PVP01_1317300	94	292	76	122	186	358	157	529	227	582
PVP01_0707800	28	114	15	81	55	67	49	194	63	48
PVP01_1302500	6	3	6	3	4	6	1	57	3	2
PVP01_0000460	0	0	0	0	0	0	0	0	0	0
PVP01_0421900	0	0	0	0	0	0	0	0	0	0
PVP01_1223400	27	93	16	56	80	129	58	214	58	48
PVP01_0006100	0	0	0	0	0	0	0	0	0	0
PVP01_1427700	28	73	19	22	32	113	80	224	60	63
PVP01_1220300	36	145	18	65	79	118	60	115	138	68
PVP01_1112200	348	1252	152	732	563	1071	635	807	774	1014
PVP01_0106400	13	30	3	30	18	34	32	81	25	8
PVP01_0000340	0	0	0	0	0	0	0	0	0	0
PVP01_1422100	217	199	137	55	167	328	73	503	246	1324
PVP01_0011060	0	0	0	0	0	0	0	0	0	0
PVP01_1245200	25	32	21	4	7	53	19	318	18	35
PVP01_0210500	34	55	49	14	54	589	29	238	34	2549
PVP01_1403500	58	176	8	149	104	236	102	117	80	36
PVP01_1001100	35	73	16	49	49	108	34	57	54	43
PVP01_1336900	48	244	14	106	92	266	178	57	187	104
PVP01_MIT02300	74	15	11	30	15	31	21	156	40	31
PVP01_0311800	166	164	45	6	55	93	60	154	187	515
PVP01_1420400	14	33	4	8	6	21	8	54	15	22
PVP01_0415300	16	18	18	3	7	39	15	169	12	74
PVP01_0010120	0	0	0	0	0	0	0	0	0	0
PVP01_API04300	0	0	0	0	0	0	0	0	0	0
PVP01_1028100	227	911	46	868	772	1056	617	396	624	417
PVP01_0420300	21	12	14	6	19	28	8	171	17	108
PVP01_1265900	16	31	11	13	13	44	19	87	30	55
PVP01_API01500	0	0	0	0	0	0	0	0	0	0
PVP01_0919600	44	77	15	57	50	58	109	145	83	58
PVP01_0947000	0	0	0	0	0	0	0	0	0	0
PVP01_1012200	32	19	20	10	14	66	18	239	7	96
PVP01_0204600	126	526	84	263	255	386	255	824	316	339
PVP01_1118100	53	41	34	1	29	110	24	54	17	932
PVP01_1100900	30	77	30	30	43	102	38	34	95	95
PVP01_0803200	300	843	95	795	484	1005	621	558	769	543
PVP01_0121800	0	0	0	0	0	0	0	0	0	0
PVP01_0600700	0	1	0	0	19	34	93	2	0	2
PVP01_1135500	55	28	43	14	22	65	13	474	17	77
PVP01_1410900	19	86	4	62	35	68	46	39	54	23
PVP01_1347000	0	0	0	0	0	0	0	0	0	0
PVP01_1463100	44	49	45	12	40	107	60	180	160	229
PVP01_0101100	64	286	26	186	142	287	113	143	177	107
PVP01_0942100	37	48	30	7	22	92	23	215	57	116
PVP01_1036100	0	0	0	0	0	0	0	0	0	0
PVP01_0943600	0	0	0	0	0	0	0	0	0	0
PVP01_1103300	24	84	17	15	19	59	22	115	51	46
PVP01_0119900	0	0	0	0	0	0	0	0	0	0
PVP01_1148900	0	0	0	0	0	0	0	0	0	0
PVP01_0511800	14	14	12	7	6	31	4	149	10	12
PVP01_1269200	210	465	43	278	235	395	293	214	453	715
PVP01_0100100	19	109	25	72	39	52	65	132	83	61
PVP01_0214000	6	10	11	0	4	20	5	94	4	14
PVP01_0001440	0	0	0	0	0	0	0	0	0	0
PVP01_0005670	0	0	0	0	0	0	0	0	0	0
PVP01_0003900	0	0	0	0	0	0	0	0	0	0
PVP01_0005570	0	0	0	0	0	0	0	0	0	0
PVP01_1465000	42	138	13	82	102	126	75	70	101	66
PVP01_1257100	50	211	11	146	130	153	130	116	206	179
PVP01_1400900	20	90	11	36	38	74	54	29	26	25
PVP01_0606600	388	1021	141	898	987	1415	959	560	1339	733
PVP01_0007130	0	0	0	0	0	0	0	0	0	0
PVP01_1002400	51	92	44	12	48	156	58	157	39	707
PVP01_0002330	0	0	0	0	0	0	0	0	0	0
PVP01_0007080	0	0	0	0	0	0	0	0	0	0
PVP01_1142300	84	92	58	36	48	124	119	532	149	222
PVP01_0739100	0	0	0	0	0	0	0	0	0	0
PVP01_1130900	35	113	13	106	115	142	135	232	119	78
PVP01_1262300	27	32	17	8	8	65	19	242	25	41
PVP01_0834900	101	269	50	189	251	294	238	226	325	246
PVP01_1424500	74	225	5	208	169	154	225	203	267	114
PVP01_1118500	40	136	13	75	47	217	55	30	72	289
PVP01_0003930	0	0	0	0	0	0	0	0	0	0
PVP01_0721700	24	13	24	13	21	39	19	212	21	107
PVP01_0010100	0	0	0	0	0	0	0	0	0	0
PVP01_0614800	812	2218	124	2324	1556	2733	1735	1856	2241	1353
PVP01_1254100	21	186	19	113	123	193	43	55	119	52
PVP01_0006870	0	0	0	0	0	0	0	0	0	0
PVP01_0823200	93	136	46	94	95	118	111	281	196	235
PVP01_0828400	98	558	47	448	381	330	333	414	297	110
PVP01_1322900	12	15	8	1	11	26	10	134	6	17
PVP01_0007240	0	0	0	0	0	0	0	0	0	0
PVP01_1406000	137	480	28	343	198	603	316	159	404	125
PVP01_1238500	95	352	39	275	200	365	206	209	331	724
PVP01_0003540	0	0	0	0	0	0	0	0	0	0
PVP01_0703600	108	320	54	144	174	300	202	453	251	128
PVP01_1209100	25	134	16	96	47	54	46	97	82	50
PVP01_0930700	5	14	2	11	13	14	4	26	8	20
PVP01_1408400	25	78	6	62	41	34	67	82	52	10
PVP01_1307200	389	693	159	600	519	606	461	980	601	638
PVP01_0009110	0	0	0	0	0	0	0	0	0	0
PVP01_1220200	105	303	64	113	150	274	159	129	273	630
PVP01_1438700	172	367	47	119	209	324	182	292	247	274
PVP01_0604200	200	769	112	539	478	563	439	1135	554	667
PVP01_1201100	76	203	24	147	103	200	138	158	167	89
PVP01_0700800	66	99	53	24	55	107	79	82	111	347
