"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_0219800",0,0
"PVP01_0007210",0,0
"PVP01_0208900",13,105
"PVP01_0915200",5,1
"PVP01_0007450",0,0
"PVP01_0003240",0,0
"PVP01_1003000",90,528
"PVP01_1340600",1076,6703
"PVP01_0727500",48,241
"PVP01_1004600",16,77
"PVP01_1227600",29,183
"PVP01_0910400",0,0
"PVP01_1125100",14,39
"PVP01_0909800",0,0
"PVP01_1339000",79,788
"PVP01_1433500",8,18
"PVP01_0507200",51,128
"PVP01_1268200",27,69
"PVP01_0315300",42,204
"PVP01_1023000",1,6
"PVP01_1422600",149,620
"PVP01_0010410",0,0
"PVP01_0518400",1,7
"PVP01_1245600",41,249
"PVP01_1437300",36,120
"PVP01_0004690",0,0
"PVP01_0616800",19,112
"PVP01_0601000",11,36
"PVP01_0700300",4,4
"PVP01_0706700",149,572
"PVP01_0934200",9,39
"PVP01_0404500",6,23
"PVP01_0003570",0,0
"PVP01_0006850",0,0
"PVP01_1201400",6,13
"PVP01_0009180",0,0
"PVP01_1234200",3,12
"PVP01_1401100",0,70
"PVP01_1010800",31,155
"PVP01_0901600",2,13
"PVP01_1430300",2,1
"PVP01_0400300",14,29
"PVP01_0001600",0,0
"PVP01_0708000",39,191
"PVP01_0000680",0,0
"PVP01_1018300",132,666
"PVP01_1025500",68,228
"PVP01_0723400",9,34
"PVP01_1421400",11,52
"PVP01_0010740",0,0
"PVP01_API00400",0,0
"PVP01_1400400",2,1
"PVP01_0508000",19,75
"PVP01_0007560",0,0
"PVP01_0529700",25,125
"PVP01_0001980",0,0
"PVP01_1114400",17,72
"PVP01_0009540",0,0
"PVP01_0705500",1,8
"PVP01_0010980",0,0
"PVP01_0534700",0,0
"PVP01_0211200",32,114
"PVP01_1203900",37,165
"PVP01_0503600",1,3
"PVP01_1246600",31,90
"PVP01_1413100",18,42
"PVP01_0110400",248,1445
"PVP01_1217100",2,3
"PVP01_0010470",0,0
"PVP01_1205600",14,27
"PVP01_1329000",108,452
"PVP01_0524700",0,13
"PVP01_0806900",187,1516
"PVP01_0009550",0,0
"PVP01_1225000",165,618
"PVP01_0523100",23,49
"PVP01_0805800",63,248
"PVP01_1312000",5,18
"PVP01_1412100",16,123
"PVP01_0004740",0,0
"PVP01_0005560",0,0
"PVP01_1255600",63,239
"PVP01_0004360",0,0
"PVP01_0319400",8,53
"PVP01_1120900",4,50
"PVP01_0839000",0,4
"PVP01_1453300",54,330
"PVP01_0009460",0,0
"PVP01_0007690",0,0
"PVP01_0603200",2,25
"PVP01_0917900",0,0
"PVP01_1123700",130,437
"PVP01_1340100",25,48
"PVP01_1247900",57,209
"PVP01_0007230",0,0
"PVP01_0006090",0,0
"PVP01_0006570",0,0
"PVP01_0928800",95,311
"PVP01_0823600",34,153
"PVP01_1327100",28,152
"PVP01_0506100",53,226
"PVP01_1334500",42,164
"PVP01_0612800",33,101
"PVP01_0921500",0,5
"PVP01_1267500",119,665
"PVP01_0523700",28,125
"PVP01_0706300",42,132
"PVP01_1472100",0,2
"PVP01_1327700",13,59
"PVP01_1339600",46,130
"PVP01_1112700",37,132
"PVP01_0002420",0,0
"PVP01_0829900",125,452
"PVP01_0104500",466,1622
"PVP01_1207800",16,54
"PVP01_1206800",408,2738
"PVP01_0519400",40,131
"PVP01_0305800",18,77
"PVP01_1418200",142,1060
"PVP01_1027200",38,155
"PVP01_1007400",23,124
"PVP01_0730600",23,169
"PVP01_0723500",15,43
"PVP01_0832500",147,658
"PVP01_0731900",8,29
"PVP01_0002110",0,0
"PVP01_1135700",15,116
"PVP01_0726800",10,85
"PVP01_1019800",13,53
"PVP01_0004990",0,0
"PVP01_0408500",84,428
"PVP01_0312700",19,96
"PVP01_0947300",0,0
"PVP01_0301000",17,62
"PVP01_0716000",69,480
"PVP01_0007710",0,0
"PVP01_1254200",50,120
"PVP01_1255300",187,1412
"PVP01_1466600",4,20
"PVP01_0407900",34,197
"PVP01_0530400",3,25
"PVP01_1230200",7,36
"PVP01_1452800",81,424
"PVP01_0000810",0,0
"PVP01_1443100",13,57
"PVP01_1146300",250,1603
"PVP01_1441600",68,259
"PVP01_0219600",0,0
"PVP01_0101000",27,214
"PVP01_1443800",82,536
"PVP01_0009960",0,0
"PVP01_1253000",47,242
"PVP01_1210800",20,122
