"","GHC-017_output_filtered.bam","JHC-001_output_filtered.bam"
"PVP01_1450800",11,105
"PVP01_0508100",1,21
"PVP01_1233900",9,39
"PVP01_0001110",0,0
"PVP01_0003440",0,0
"PVP01_0520500",78,377
"PVP01_1242400",16,84
"PVP01_1332000",6,16
"PVP01_0527400",174,558
"PVP01_0000870",0,0
"PVP01_0417000",160,1285
"PVP01_0515700",2,39
"PVP01_0828500",154,959
"PVP01_0007190",0,0
"PVP01_0004930",0,0
"PVP01_1106000",16,84
"PVP01_0948000",0,0
"PVP01_1301200",3,1
"PVP01_1127200",103,840
"PVP01_0004840",0,0
"PVP01_1454400",4,22
"PVP01_1011000",112,639
"PVP01_1222800",25,148
"PVP01_0604000",19,58
"PVP01_0817100",168,725
"PVP01_0122100",0,0
"PVP01_0002730",0,0
"PVP01_0210800",6,23
"PVP01_1320800",6,44
"PVP01_0120500",0,0
"PVP01_1251700",10,32
"PVP01_0011140",0,0
"PVP01_1437600",21,60
"PVP01_1254400",122,471
"PVP01_0216100",38,102
"PVP01_1142500",1,13
"PVP01_0818500",69,493
"PVP01_1026500",72,227
"PVP01_1000200",351318,2468256
"PVP01_1300400",3,13
"PVP01_0001140",0,0
"PVP01_0003430",0,0
"PVP01_1230100",107,566
"PVP01_0006040",0,0
"PVP01_0103700",37,144
"PVP01_1309000",6,37
"PVP01_0007340",0,0
"PVP01_1415800",5,44
"PVP01_0925100",35,180
"PVP01_0725800",73,395
"PVP01_0008340",0,0
"PVP01_1271100",66,479
"PVP01_0007480",0,0
"PVP01_0009280",0,0
"PVP01_0949900",0,0
"PVP01_1100800",101,811
"PVP01_0400400",0,0
"PVP01_1308600",17,36
"PVP01_0503500",20,91
"PVP01_1402100",35,155
"PVP01_1202900",4,7
"PVP01_0010340",0,0
"PVP01_0103900",9,30
"PVP01_0700600",22,99
"PVP01_0003910",0,0
"PVP01_0005770",0,0
"PVP01_0006670",0,0
"PVP01_0317300",8,28
"PVP01_1426400",36,188
"PVP01_0100300",165,1654
"PVP01_1256100",41,220
"PVP01_0823000",11,33
"PVP01_1405100",25,73
"PVP01_1263900",8,31
"PVP01_0110100",22,260
"PVP01_1465100",1,24
"PVP01_0007700",0,0
"PVP01_0118000",10,40
"PVP01_0932900",102,446
"PVP01_0707600",184,784
"PVP01_1462900",8,12
"PVP01_0620900",214,1334
"PVP01_1326800",29,148
"PVP01_1203100",40,191
"PVP01_1113600",5,25
"PVP01_0003280",0,0
"PVP01_0003270",0,0
"PVP01_0535000",0,0
"PVP01_0523500",13,54
"PVP01_0413800",22,88
"PVP01_0121700",0,0
"PVP01_0921800",29,202
"PVP01_0932700",3,7
"PVP01_1316900",3,42
"PVP01_1009600",5,9
"PVP01_1310500",38,176
"PVP01_1270000",13,29
"PVP01_0420200",3,27
"PVP01_0815800",3,44
"PVP01_0003480",0,0
"PVP01_0526500",25,156
"PVP01_0603600",3,8
"PVP01_0312800",71,387
"PVP01_1224800",8,55
"PVP01_1423900",0,1
"PVP01_0944700",0,0
"PVP01_0103000",3,19
"PVP01_0114300",69,322
"PVP01_0109500",22,103
"PVP01_0929200",32,132
"PVP01_0733700",0,12
"PVP01_0002900",0,0
"PVP01_1240700",2,4
"PVP01_0005850",0,0
"PVP01_0008540",0,0
"PVP01_0918800",100,367
"PVP01_0919300",205,879
"PVP01_1001500",59,235
"PVP01_0534000",0,0
"PVP01_0003010",0,0
"PVP01_1200400",13,23
"PVP01_0005530",0,0
"PVP01_0738600",0,0
"PVP01_0916000",4,20
"PVP01_0202200",168,1027
"PVP01_0615300",51,292
"PVP01_1226600",15,60
"PVP01_0010370",0,0
"PVP01_0733500",4,105
"PVP01_0726500",20,134
"PVP01_0120700",0,0
"PVP01_1341600",20,85
"PVP01_0734000",0,6
"PVP01_0826600",32,151
"PVP01_0006770",0,0
"PVP01_0000480",0,0
"PVP01_0412400",166,1071
"PVP01_1346900",0,0
"PVP01_0515200",1,39
"PVP01_1416700",1,12
"PVP01_1403800",102,395
"PVP01_0200800",1,4
"PVP01_0004100",0,0
"PVP01_0817300",6,37
"PVP01_0605900",15,64
"PVP01_1422400",151,651
"PVP01_0709700",13,58
"PVP01_1269500",9,10
"PVP01_1262500",18,43
"PVP01_0915700",19,54
"PVP01_0720300",12,66
"PVP01_0950100",0,0
"PVP01_1239800",112,442
"PVP01_0614200",135,685
"PVP01_1422300",57,362
"PVP01_0838700",61,480
"PVP01_0304300",9,67
"PVP01_0004170",0,0
"PVP01_0306700",1,4
"PVP01_1419700",41,119
"PVP01_0619700",11,40
"PVP01_0304600",1,4
"PVP01_1138200",32,91
"PVP01_1343100",59,278
"PVP01_0007140",0,0
"PVP01_0608800",15,18
"PVP01_0724200",13,108
"PVP01_0925700",7,36
"PVP01_0008130",0,0
"PVP01_0735100",16,86
"PVP01_0403000",24,72
"PVP01_1026100",2,22
"PVP01_0002400",0,0
"PVP01_1223700",58,309
"PVP01_0926100",0,1
"PVP01_1126600",516,3095
"PVP01_1111200",49,128
"PVP01_0615100",29,204
"PVP01_1265700",219,1287
"PVP01_1103500",56,234
"PVP01_0413100",10,44
"PVP01_0915800",38,117
"PVP01_0928600",34,198
"PVP01_0001750",0,0
"PVP01_1451000",4,5
"PVP01_0309600",62,293
"PVP01_1029400",38,211
"PVP01_0219200",0,0
"PVP01_0411300",77,375
"PVP01_1030600",32,181
"PVP01_0949100",0,0
"PVP01_1204800",9,37
"PVP01_0207900",21,112
"PVP01_1468400",20,92
"PVP01_0414900",3,12
"PVP01_0816900",5,28
"PVP01_MIT00500",7,67
"PVP01_0509700",45,203
"PVP01_0611600",135,721
"PVP01_0828800",142,772
"PVP01_0527300",38,93
"PVP01_0310900",0,1
"PVP01_1329500",47,196
"PVP01_1327300",25,101
"PVP01_1248900",45,119
"PVP01_0737700",0,0
"PVP01_1119300",26,157
"PVP01_1419100",1,26
"PVP01_1314300",23,140
"PVP01_1257800",13,22
"PVP01_1267200",11,30
"PVP01_1137600",208,2830
"PVP01_1224600",4,50
"PVP01_0010210",0,0
"PVP01_0002840",0,0
"PVP01_0803900",140,820
"PVP01_1469200",375,3719
"PVP01_1148000",18,10
"PVP01_0422900",0,0
"PVP01_1332900",17,65
"PVP01_0940600",60,234
"PVP01_0904400",16,44
"PVP01_0944600",0,0
"PVP01_1417700",45,233
"PVP01_1313300",337,1433
"PVP01_0924100",32,175
"PVP01_1305600",3,11
"PVP01_0200600",0,4
"PVP01_0902800",17,94
"PVP01_1115700",6,26
"PVP01_1329300",58,349
"PVP01_0007360",0,0
"PVP01_0214700",17,84
"PVP01_0007260",0,0
"PVP01_0617300",109,411
"PVP01_1241600",22,102
"PVP01_0104700",50,150
"PVP01_0601900",33,164
"PVP01_0003650",0,0
"PVP01_1012600",46,235
"PVP01_1314600",65,138
"PVP01_1227100",13,47
"PVP01_0005550",0,0
"PVP01_1467300",19,109
"PVP01_0405000",60,329
"PVP01_1226700",13,69
"PVP01_1032300",11,47
"PVP01_0010500",0,0
"PVP01_1442300",297,1284
"PVP01_0719300",7,37
"PVP01_0944200",0,0
"PVP01_0104100",331,1151
"PVP01_1135400",32,119
"PVP01_0946300",0,0
"PVP01_0814400",84,500
"PVP01_1449400",1,6
"PVP01_1441100",27,94
"PVP01_1260500",341,2147
"PVP01_1240800",3,17
"PVP01_1245500",2,10
"PVP01_1419500",8,15
"PVP01_1329800",44,133
"PVP01_0947600",0,0
"PVP01_0703900",74,216
"PVP01_0002920",0,0
"PVP01_0010030",0,0
"PVP01_1032800",0,0
"PVP01_1420300",52,174
"PVP01_1410700",33,153
"PVP01_0008960",0,0
"PVP01_API01700",0,0
"PVP01_1032100",1,23
"PVP01_0004730",0,0
"PVP01_0207000",17,183
"PVP01_1227000",3,20
"PVP01_1216200",12,50
"PVP01_0920900",33,74
"PVP01_1432300",78,339
"PVP01_0945900",0,0
"PVP01_1246400",43,211
"PVP01_0002800",0,0
"PVP01_1343300",127,693
"PVP01_0506900",16,117
"PVP01_0802200",29,113
"PVP01_0826200",1,29
"PVP01_1414400",50,239
"PVP01_0943800",0,0
"PVP01_0112400",1,5
"PVP01_1272400",0,0
"PVP01_0009880",0,0
"PVP01_0713200",23,85
"PVP01_0722500",153,720
"PVP01_API01200",0,0
"PVP01_0319600",127767,723807
"PVP01_1018000",18,86
"PVP01_1308300",23,64
"PVP01_0734900",0,3
"PVP01_0401100",0,0
"PVP01_1124800",106,367
"PVP01_0715000",12,33
"PVP01_1407100",1,12
"PVP01_1271500",0,0
"PVP01_1271600",0,0
"PVP01_1343000",74,333
"PVP01_0529900",2,14
"PVP01_1472300",1,0
"PVP01_1336300",5,1
"PVP01_0731700",10,88
"PVP01_1208300",22,77
"PVP01_0800200",37,185
"PVP01_0106200",168,714
"PVP01_0301700",4,24
"PVP01_1444100",34,203
"PVP01_0521600",74,566
"PVP01_1407500",34,180
"PVP01_0007290",0,0
"PVP01_0948500",0,0
"PVP01_0415800",148,655
"PVP01_0006650",0,0
"PVP01_0518600",30,209
"PVP01_1270200",37,117
"PVP01_1128600",1,10
"PVP01_1428200",67,198
"PVP01_0816800",1321,12562
"PVP01_1339400",24,117
"PVP01_1344800",1,3
"PVP01_0005720",0,0
"PVP01_0003460",0,0
"PVP01_0901500",41,207
"PVP01_0822100",1,6
"PVP01_0510200",16,90
"PVP01_0824100",10,84
"PVP01_0005230",0,0
"PVP01_1247100",28,152
"PVP01_0002880",0,0
"PVP01_1006000",4,19
"PVP01_0602200",44,166
"PVP01_0207600",10,77
"PVP01_0803300",23,61
"PVP01_0401900",7,71
"PVP01_1007200",462,2277
"PVP01_1009100",2,22
"PVP01_1131300",3,11
"PVP01_0006120",0,0
"PVP01_0622200",33,260
"PVP01_1143400",78,489
"PVP01_0414200",0,30
"PVP01_1221400",8,22
"PVP01_0827500",0,1
"PVP01_0712800",1,5
"PVP01_1328400",106,604
"PVP01_1410000",29,129
"PVP01_0613500",32,100
"PVP01_0719200",5,21
"PVP01_1432600",66,307
"PVP01_0906700",7,65
"PVP01_0731200",53,393
"PVP01_0004270",0,0
"PVP01_0729200",46,325
"PVP01_0007280",0,0
"PVP01_0002340",0,0
"PVP01_1443900",83,385
"PVP01_1103000",7,36
"PVP01_0735700",4,6
"PVP01_1209000",70,241
"PVP01_1211100",42,130
"PVP01_0307100",94,428
"PVP01_1402300",13,21
"PVP01_1223300",20,94
"PVP01_0731400",12,112
"PVP01_0600800",19,58
"PVP01_1034100",0,0
"PVP01_0008920",0,0
"PVP01_0623100",45,265
"PVP01_0010620",0,0
"PVP01_0943200",79,383
"PVP01_1338200",28,99
"PVP01_1274400",0,0
"PVP01_0931500",18,71
"PVP01_1021800",5,31
"PVP01_0119700",0,0
"PVP01_0522600",70,416
"PVP01_0610800",0,9
"PVP01_1008600",98,470
"PVP01_0609000",10,42
"PVP01_1417600",41,178
"PVP01_0830100",257,1374
"PVP01_1243900",57,247
"PVP01_1034600",0,0
"PVP01_1448400",154,897
"PVP01_0415400",2,11
"PVP01_1262800",48,259
"PVP01_1220400",43,154
"PVP01_1242700",2,38
"PVP01_1200500",15,135
"PVP01_1468900",9,226
"PVP01_1268100",3,5
"PVP01_1438600",69,267
"PVP01_0620400",46,308
"PVP01_1310800",128,614
"PVP01_1243300",5,24
"PVP01_1242100",10,24
"PVP01_0610200",17,56
"PVP01_1323400",18,61
"PVP01_0403200",34,207
"PVP01_1423100",9,59
"PVP01_1022200",63,358
"PVP01_1425000",14,104
"PVP01_0620000",489,3443
"PVP01_0522800",5,15
"PVP01_0004540",0,0
"PVP01_0309400",1,6
"PVP01_1421000",52,344
"PVP01_0009420",0,0
"PVP01_API02700",0,0
"PVP01_1107500",11,26
"PVP01_0103100",28,97
"PVP01_0301800",1,4
"PVP01_0732400",2,9
"PVP01_1308900",6,35
"PVP01_0521400",135,1173
"PVP01_0108200",175,1399
"PVP01_1004500",149,691
"PVP01_0009710",0,0
"PVP01_0423600",0,0
"PVP01_0003610",0,0
"PVP01_1217700",37,157
"PVP01_1221700",26,157
"PVP01_1132700",50,168
"PVP01_1462600",17,83
"PVP01_1121900",0,9
"PVP01_1104000",35,255
"PVP01_1440700",20,108
"PVP01_1028800",1,67
"PVP01_0710500",72,327
"PVP01_1425200",51,402
"PVP01_0007650",0,0
"PVP01_1273600",0,0
"PVP01_0737300",0,0
"PVP01_0008590",0,0
"PVP01_0613200",38,152
"PVP01_0530700",58,400
"PVP01_1212800",1,20
"PVP01_0522400",6,33
"PVP01_0718900",49,246
"PVP01_0002090",0,0
"PVP01_0007640",0,0
"PVP01_0203700",57,346
"PVP01_0005740",0,0
"PVP01_0716200",78,431
"PVP01_1203000",18,41
"PVP01_1022300",29,107
"PVP01_1211800",9,66
"PVP01_1316100",243,1274
"PVP01_0518800",4,8
"PVP01_1245700",29,123
"PVP01_0112800",11,17
"PVP01_0304000",101,475
"PVP01_0000120",0,0
"PVP01_1113100",3,31
"PVP01_0004020",0,0
"PVP01_1260900",124,434
"PVP01_0106900",35,160
"PVP01_1258600",161,599
"PVP01_1430600",29,47
"PVP01_1264700",3,13
"PVP01_1267900",134,710
"PVP01_0935000",192,792
"PVP01_0535200",0,0
"PVP01_0403400",32,274
"PVP01_0524600",36,108
"PVP01_0418200",27,54
"PVP01_1140700",51,261
"PVP01_0000030",0,0
"PVP01_0002600",0,0
"PVP01_0415700",43,236
"PVP01_1228900",27,235
"PVP01_1033800",0,0
"PVP01_1333000",51,214
"PVP01_0514500",82,406
"PVP01_1231200",6,27
"PVP01_0105500",63,295
"PVP01_1237200",598,3908
"PVP01_0708200",15,75
"PVP01_0800500",3,8
"PVP01_0110300",135,734
"PVP01_0716700",20,57
"PVP01_1416300",145,916
"PVP01_1439700",17,73
"PVP01_1423700",1,23
"PVP01_1120500",2,26
"PVP01_1108700",56,169
"PVP01_0006250",0,0
"PVP01_0511300",90,339
"PVP01_0915600",62,294
"PVP01_1138600",8,21
"PVP01_1222200",2,8
"PVP01_0511600",50,223
"PVP01_1412200",15,53
"PVP01_1410100",61,200
"PVP01_1217400",48,207
"PVP01_1144500",14,39
"PVP01_0110800",73,286
"PVP01_0703400",31,108
"PVP01_1034000",0,0
"PVP01_1006900",25,96
"PVP01_0721300",163,720
"PVP01_0832700",45,225
"PVP01_0213800",115,800
"PVP01_0318400",6,3
"PVP01_1124400",13,64
"PVP01_1003900",1,11
"PVP01_0103500",2,14
"PVP01_1341900",109,498
"PVP01_1245300",3,7
"PVP01_0713000",4,14
"PVP01_1234500",4,25
"PVP01_1214100",35,186
"PVP01_0941900",2,0
"PVP01_0935700",10,23
"PVP01_1327600",22,89
"PVP01_0730200",10,77
"PVP01_0010130",0,0
"PVP01_0000670",0,0
"PVP01_0311400",0,4
"PVP01_0113700",25,131
"PVP01_0619900",2,41
"PVP01_1422700",185,805
"PVP01_0003660",0,0
"PVP01_1023900",9,105
"PVP01_0214100",3,10
"PVP01_0933200",110,862
"PVP01_0506000",68,316
"PVP01_0007270",0,0
"PVP01_1232000",18,123
"PVP01_0624900",0,9
"PVP01_0002940",0,0
"PVP01_0413600",2,30
"PVP01_1231600",10,26
"PVP01_0007060",0,0
"PVP01_0001010",0,0
"PVP01_0910500",0,0
"PVP01_0002450",0,0
"PVP01_0006530",0,0
"PVP01_1429200",9,57
"PVP01_0614400",24,287
"PVP01_1137400",215,1205
"PVP01_1264500",46,141
"PVP01_0917200",55,261
"PVP01_0618600",69,284
"PVP01_0002860",0,0
"PVP01_0304500",159,707
"PVP01_1219000",115,890
"PVP01_0105800",54,246
"PVP01_0001960",0,0
"PVP01_0834500",40,250
"PVP01_0011160",0,0
"PVP01_0423200",0,0
"PVP01_0502600",5,7
"PVP01_0819200",4,14
"PVP01_0116300",82,341
"PVP01_0709800",248,1636
"PVP01_0602100",32,114
"PVP01_1013400",11,24
"PVP01_0726100",10,583
"PVP01_1021100",91,340
"PVP01_1238300",55,264
"PVP01_0505200",3,9
"PVP01_1435800",3,22
"PVP01_1319300",30,140
"PVP01_1143200",17,94
"PVP01_1131600",6,22
"PVP01_1023400",0,5
"PVP01_1127400",50,246
"PVP01_0926300",5,23
"PVP01_1300100",4,6
"PVP01_0302800",125,445
"PVP01_1265600",65,331
"PVP01_0007050",0,0
"PVP01_0915000",37,210
"PVP01_0009220",0,0
"PVP01_1319800",5,37
"PVP01_1112900",143,606
"PVP01_0007410",0,0
"PVP01_0218700",0,0
"PVP01_0715900",56,390
"PVP01_0007320",0,0
"PVP01_0506500",31,123
"PVP01_0910000",28,140
"PVP01_1264400",183,839
"PVP01_0712600",12,24
"PVP01_0417500",8,97
"PVP01_0202700",611,11409
"PVP01_0009200",0,0
"PVP01_1266000",31,117
"PVP01_0513200",35,250
"PVP01_1270500",1,47
"PVP01_0002650",0,0
"PVP01_0215600",12,36
"PVP01_1127100",30,88
"PVP01_1133700",262,1497
"PVP01_1456700",32,183
"PVP01_1257200",18,112
"PVP01_1336000",38,99
"PVP01_0831100",42,158
"PVP01_0115800",19,94
"PVP01_1111500",73,196
"PVP01_1102200",2,2
"PVP01_0005620",0,0
"PVP01_0826400",48,155
"PVP01_0313200",31,72
"PVP01_1129400",11,39
"PVP01_0933000",14,80
"PVP01_0320100",15,59
"PVP01_0003770",0,0
"PVP01_1138800",14,38
"PVP01_0531300",4,30
"PVP01_0607600",20,79
"PVP01_1259100",115,715
"PVP01_1271300",0,0
"PVP01_1259700",28,90
"PVP01_0809000",26,97
"PVP01_1436200",73,350
"PVP01_0009470",0,0
"PVP01_1429900",41,161
"PVP01_1239400",19,39
"PVP01_0839300",6,13
"PVP01_1268700",0,6
"PVP01_0003210",0,0
"PVP01_1227500",40,185
"PVP01_0527900",11,51
"PVP01_0000050",0,0
"PVP01_0944900",0,0
"PVP01_0840000",0,0
"PVP01_1455600",190,1163
"PVP01_1268900",2,6
"PVP01_1000100",16,46
"PVP01_0208300",5,27
"PVP01_0717300",15,70
"PVP01_1002000",46,189
"PVP01_0836500",0,23
"PVP01_0920600",160,759
"PVP01_1135600",155,1126
"PVP01_0938300",3,18
"PVP01_1446300",58,199
"PVP01_0010910",0,0
"PVP01_0004590",0,0
"PVP01_1253400",99,501
"PVP01_0005280",0,0
"PVP01_0106800",26,139
"PVP01_1024900",59,368
"PVP01_1411300",9,78
"PVP01_1310200",44,222
"PVP01_0004250",0,0
"PVP01_0613400",19,77
"PVP01_1462400",36,114
"PVP01_0824000",83,493
"PVP01_1250700",2,16
"PVP01_0617800",84,299
"PVP01_0927600",9,49
"PVP01_1414200",3,10
"PVP01_1461900",28,115
"PVP01_0008100",0,0
"PVP01_1443500",30,120
"PVP01_1434800",132,1172
"PVP01_1036000",0,0
"PVP01_1203600",77,470
"PVP01_0523300",21,102
"PVP01_0411700",1,29
"PVP01_0108600",36,223
"PVP01_0944100",0,0
"PVP01_0219100",0,0
"PVP01_0939300",27,38
"PVP01_0213700",15,42
"PVP01_1404000",27,129
"PVP01_0503100",28,134
"PVP01_0008790",0,0
"PVP01_0607000",45,164
"PVP01_0417600",17,57
"PVP01_0922600",5,11
"PVP01_1264300",156,557
"PVP01_0011120",0,0
"PVP01_0824500",45,424
"PVP01_0004080",0,0
"PVP01_1203300",9,65
"PVP01_0730300",1,17
"PVP01_1321600",2,12
"PVP01_1206100",2,19
"PVP01_0000420",0,0
"PVP01_0405100",0,11
"PVP01_0006490",0,0
"PVP01_1454300",51,253
"PVP01_0004530",0,0
"PVP01_1228100",5,21
"PVP01_1266800",0,0
"PVP01_0604700",113,482
"PVP01_0906200",3,11
"PVP01_0708300",0,9
"PVP01_1441700",194,948
"PVP01_1011800",275,2118
"PVP01_0804200",5,6
"PVP01_0006970",0,0
"PVP01_1432900",35,215
"PVP01_0007040",0,0
"PVP01_0934600",104,464
"PVP01_0701400",53,386
"PVP01_0318100",27,61
"PVP01_1019000",26,94
"PVP01_0606200",86,333
"PVP01_1449700",2,8
"PVP01_0008020",0,0
"PVP01_0918600",10,20
"PVP01_0726200",6,133
"PVP01_1321400",0,0
"PVP01_1337400",41,206
"PVP01_1457700",10,51
"PVP01_1007900",16,80
"PVP01_0919400",50,206
"PVP01_1105700",327,1539
"PVP01_1408900",114,490
"PVP01_0528900",6,18
"PVP01_0732500",7,26
"PVP01_0001510",0,0
"PVP01_1431900",6,74
"PVP01_1217000",117,746
"PVP01_0924400",9,56
"PVP01_0801800",229,1351
"PVP01_0006780",0,0
"PVP01_0006660",0,0
"PVP01_1234900",289,1731
"PVP01_0825000",18,81
"PVP01_0303900",2,39
"PVP01_0007330",0,0
"PVP01_1254800",19,34
"PVP01_0010580",0,0
"PVP01_0111600",29,160
"PVP01_1418900",6,12
"PVP01_0002580",0,0
"PVP01_0005450",0,0
"PVP01_0929900",101,475
"PVP01_1007250",8,28
"PVP01_0009190",0,0
"PVP01_1207100",8,43
"PVP01_0738800",0,0
"PVP01_1328800",30,126
"PVP01_1315800",84,289
"PVP01_0309300",51,341
"PVP01_1253600",109,336
"PVP01_0001790",0,0
"PVP01_1251300",7,39
"PVP01_1341700",32,111
"PVP01_MIT03100",0,0
"PVP01_1214900",3,13
"PVP01_1330100",0,5
"PVP01_1108300",18,58
"PVP01_0213600",69,247
"PVP01_1330600",6,22
"PVP01_0103300",5,1
"PVP01_0304700",7,103
"PVP01_1466700",5,22
"PVP01_1112100",19,85
"PVP01_0206200",11,57
"PVP01_1258700",21,89
"PVP01_0001620",0,0
"PVP01_0003510",0,0
"PVP01_0837000",8,21
"PVP01_1414000",144,540
"PVP01_0000040",0,0
"PVP01_0207400",284,1370
"PVP01_0931100",3,20
"PVP01_0008470",0,0
"PVP01_1104200",90,544
"PVP01_0622100",0,7
"PVP01_1421600",4,11
"PVP01_1263400",254,850
"PVP01_0940300",2,32
"PVP01_1309700",2,14
"PVP01_1448300",5,87
"PVP01_1257600",51,174
"PVP01_1331200",33,139
"PVP01_0000510",0,0
"PVP01_1307500",142,522
"PVP01_0002680",0,0
"PVP01_0005830",0,0
"PVP01_1446900",55,158
"PVP01_1244500",124,1128
"PVP01_0417200",43,264
"PVP01_0712400",103,603
"PVP01_0817500",218,1121
"PVP01_0936000",26,151
"PVP01_0727100",0,1
"PVP01_1338300",28,124
"PVP01_0922900",33,208
"PVP01_0309000",3,41
"PVP01_1406400",81,474
"PVP01_0404200",54,184
"PVP01_1405200",10,53
"PVP01_0527100",19,60
"PVP01_0620300",66,411
"PVP01_1342200",82,361
"PVP01_0010650",0,0
"PVP01_1468100",2,13
"PVP01_1462700",87,397
"PVP01_0516000",0,10
"PVP01_0912600",3,26
"PVP01_0009970",0,0
"PVP01_0010460",0,0
"PVP01_1033900",0,0
"PVP01_0117600",302,1533
"PVP01_0300100",18,58
"PVP01_0312200",0,0
"PVP01_0908600",56,243
"PVP01_0220700",0,0
"PVP01_0007920",0,0
"PVP01_1137300",1,12
"PVP01_0942600",39,183
"PVP01_1237000",20,101
"PVP01_1033700",0,0
"PVP01_0732100",2,7
"PVP01_0000060",0,0
"PVP01_0109200",12,88
"PVP01_0302900",29,40
"PVP01_0008360",0,0
"PVP01_0736700",0,0
"PVP01_0724400",37,358
"PVP01_1331000",42,162
"PVP01_0002460",0,0
"PVP01_0919100",36,201
"PVP01_0616400",60,239
"PVP01_0303400",298,1282
"PVP01_1143300",256,1057
"PVP01_1453500",139,843
"PVP01_1004300",0,1
"PVP01_1273400",0,0
"PVP01_0610700",553,3263
"PVP01_0308000",21,95
"PVP01_1008500",67,142
"PVP01_0534400",0,0
"PVP01_0005010",0,0
"PVP01_1200700",2,5
"PVP01_1266500",4,27
"PVP01_MIT01200",28,154
"PVP01_0001880",0,0
"PVP01_0200100",1,10
"PVP01_1255700",54,247
"PVP01_1433000",16,106
"PVP01_1025400",23,89
"PVP01_1101800",0,7
"PVP01_0006520",0,0
"PVP01_1274600",0,0
"PVP01_0519700",64,241
"PVP01_0001660",0,0
"PVP01_0318300",0,4
"PVP01_0309500",6,34
"PVP01_0809900",265,1507
"PVP01_0501200",19,64
"PVP01_1016300",39,209
"PVP01_0006820",0,0
"PVP01_0724600",42,182
"PVP01_1333900",5,16
"PVP01_0917400",8,42
"PVP01_1412500",73,446
"PVP01_1136000",2,3
"PVP01_1433900",5,32
"PVP01_0002280",0,0
"PVP01_1011200",60,248
"PVP01_0313800",234,1301
"PVP01_1436600",5,18
"PVP01_0622500",21,120
"PVP01_0305100",60,300
"PVP01_0115700",4,33
"PVP01_1403900",15,181
"PVP01_0214800",63,327
"PVP01_1017800",10,37
"PVP01_1010700",92,377
"PVP01_0007030",0,0
"PVP01_1337700",12,36
"PVP01_0410800",105,641
"PVP01_0114000",53,351
"PVP01_1140200",2,34
"PVP01_0916450",10,16
"PVP01_0620100",25,170
"PVP01_1148500",0,0
"PVP01_1024800",1,7
"PVP01_0109000",7,39
"PVP01_1320200",6,53
"PVP01_0005520",0,0
"PVP01_0533500",0,0
"PVP01_1435000",3,8
"PVP01_1270600",13,18
"PVP01_1102800",159,884
"PVP01_0827900",9,74
"PVP01_0730800",85,512
"PVP01_1329200",65,263
"PVP01_0412100",6,107
"PVP01_0527700",96,302
"PVP01_1117300",23,153
"PVP01_1457100",116,433
"PVP01_1341800",11,99
"PVP01_1313800",132,464
"PVP01_0103200",183,564
"PVP01_0735200",0,31
"PVP01_0726300",5,175
"PVP01_0107500",7,30
"PVP01_0737800",0,0
"PVP01_0924800",130,730
"PVP01_0528300",6,47
"PVP01_MIT01000",0,0
"PVP01_0003150",0,0
"PVP01_0605300",2,5
"PVP01_1424400",81,390
"PVP01_0010360",0,0
"PVP01_0915400",0,11
"PVP01_0003020",0,0
"PVP01_1225800",11,46
"PVP01_1031200",205,1343
"PVP01_0503000",1,0
"PVP01_0418800",2813,25180
"PVP01_0001520",0,0
"PVP01_1407400",250,1476
"PVP01_1332100",2,11
"PVP01_0008440",0,0
"PVP01_0830200",2,23
"PVP01_0945100",0,0
"PVP01_1214700",4,17
"PVP01_1102400",37,112
"PVP01_0920700",12,65
"PVP01_1468600",48,251
"PVP01_1265000",63,622
"PVP01_0714600",65,332
"PVP01_0004220",0,0
"PVP01_0710300",7,58
"PVP01_0006350",0,0
"PVP01_0733300",0,52
"PVP01_1411600",16,80
"PVP01_1264000",9,22
"PVP01_0002910",0,0
"PVP01_1201000",32,198
"PVP01_0416600",44,230
"PVP01_0501300",25,60
"PVP01_1219400",10,34
"PVP01_1420900",10,53
"PVP01_1433400",6,38
"PVP01_0311000",5,29
"PVP01_0916500",7,12
"PVP01_1447100",381,1970
"PVP01_1453000",1,12
"PVP01_0535100",0,0
"PVP01_0833900",7,37
"PVP01_0602300",24,55
"PVP01_1405000",134,510
"PVP01_0604400",0,2
"PVP01_0500500",21,118
"PVP01_1008700",8,39
"PVP01_0006030",0,0
"PVP01_1204400",16,106
"PVP01_1134800",67,298
"PVP01_1011400",9,48
"PVP01_0914000",0,2
"PVP01_0800100",33,197
"PVP01_0105100",6,17
"PVP01_0830500",85,478
"PVP01_0921200",218,970
"PVP01_1464600",8,17
"PVP01_1327500",41,128
"PVP01_1141900",139,745
"PVP01_0009070",0,0
"PVP01_0001800",0,0
"PVP01_1135000",74,303
"PVP01_1227200",2,8
"PVP01_0815200",143,674
"PVP01_1446100",4,28
"PVP01_0000010",0,0
"PVP01_1248500",41,160
"PVP01_1447200",308,1753
"PVP01_1317900",12,116
"PVP01_1307000",4,26
"PVP01_0000780",0,0
"PVP01_1231100",5,17
"PVP01_0814500",18,76
"PVP01_1320700",16,83
"PVP01_0522200",64,526
"PVP01_1446800",17,64
"PVP01_0718100",1,7
"PVP01_0202000",6,306
"PVP01_1243000",1,9
"PVP01_0003250",0,0
"PVP01_0811700",2,12
"PVP01_1325400",26,105
"PVP01_1333400",42,83
"PVP01_1137900",4,22
"PVP01_1136100",14,127
"PVP01_1458700",43,117
